"num","cc","subversion","WI","KR","GE","PR","KRheight","KRweight","KRage","PRheight","PRweight","PRage","useable","PRgood","KRgood"
"6","CI",1,"","CIKR62FL.DTA","CIGE61FL.shp","CIPR62FL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"5","CI",1,"","CIKR50FL.dta","","CIPR50FL.DTA",NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"2","CM",1,"CMWI22FL.DTA","CMKR21FL.DTA","CMGE23FL.shp","CMPR22FL.DTA",TRUE,TRUE,TRUE,NA,NA,NA,TRUE,NA,TRUE
"4","CM",1,"","CMKR44FL.dta","CMGE42FL.shp","CMPR45FL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6","CM",1,"","CMKR61FL.DTA","CMGE61FL.shp","CMPR61FL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"3","CM",1,"CMWI31FL.DTA","CMKR31FL.DTA","","CMPR31FL.DTA",TRUE,TRUE,TRUE,NA,NA,NA,FALSE,NA,TRUE
"6","CO",1,"","COKR61FL.DTA","COGE61FL.shp","COPR61FL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"0","CO",1,"","COKR01FL.DTA","","",TRUE,TRUE,TRUE,NA,NA,NA,FALSE,NA,TRUE
"2","CO",1,"COWI22FL.DTA","cokr22fl.dta","","copr22fl.dta",NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"3","CO",1,"COWI31FL.DTA","COKR31FL.DTA","","COPR31FL.DTA",TRUE,TRUE,TRUE,NA,NA,NA,FALSE,NA,TRUE
"4","CO",1,"COWI41FL.DTA","COKR41FL.DTA","","COPR41FL.DTA",TRUE,TRUE,TRUE,NA,NA,NA,FALSE,NA,TRUE
"5","CO",1,"","COKR53FL.DTA","","COPR53FL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"7","CO",1,"","COKR71FL.DTA","","COPR71FL.DTA",NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"5","DR",1,"","DRKR52FL.DTA","DRGE52FL.shp","DRPR52FL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6","DR",1,"","DRKR61FL.DTA","DRGE61FL.shp","DRPR61FL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6","DR",2,"","DRKR6AFL.DTA","DRGE6AFL.shp","DRPR6AFL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"0","DR",1,"","DRKR01FL.DTA","","",TRUE,TRUE,TRUE,NA,NA,NA,FALSE,NA,TRUE
"2","DR",1,"","DRKR21FL.DTA","","DRPR21FL.DTA",TRUE,TRUE,TRUE,NA,NA,NA,FALSE,NA,TRUE
"3","DR",1,"DRWI32FL.DTA","DRKR31FL.DTA","","DRPR32FL.DTA",TRUE,TRUE,TRUE,NA,NA,NA,FALSE,NA,TRUE
"4","DR",1,"DRWI41FL.DTA","DRKR41FL.DTA","","DRPR41FL.DTA",NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"4","DR",2,"DRWI4AFL.DTA","DRKR4AFL.DTA","","DRPR4AFL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"5","DR",2,"","DRKR5AFL.DTA","","DRPR5AFL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"2","EG",1,"","EGKR21FL.DTA","EGGE22FL.shp","EGPR21FL.DTA",TRUE,TRUE,TRUE,NA,NA,NA,TRUE,NA,TRUE
"3","EG",1,"EGWI32FL.DTA","EGKR33FL.DTA","EGGE32FL.shp","EGPR33FL.DTA",TRUE,TRUE,TRUE,NA,NA,NA,TRUE,NA,TRUE
"4","EG",1,"EGWI41FL.DTA","EGKR42FL.DTA","EGGE42FL.shp","EGPR42FL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4","EG",2,"EGWI4AFL.DTA","EGKR4AFL.DTA","EGGE4BFL.shp","EGPR4AFL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
